ID,Korean,Romanization,Japanese,PartOfSpeech,ExampleKorean,ExampleRomanization,ExampleJapanese,Source,Tags,ExampleBreakdown,ExampleExplanation,ExamplePronunciationHint
C0001,기록,girok,記録,名詞,도시의 기록을 확인했다.,dosiui girogeul hwaginhaetda.,都市の記録を確認した。,chapter04 section12,memoriopolis::ko::core10,"도시의 = 都市の
기록을 = 記録を
확인했다 = 確認した",도시의は「都市の」という意味です。의は、日本語の「の」に近い働きをします。기록을の을は「を」に近く、確認する対象が기록であることを示します。확인했다は「確認する」という意味の확인하다が過去形になった形です。文全体をつなぐと、「都市の記録を確認した」となります。,"기록을 は、文字では

기록 + 을

と分かれています。

Romanizationでは girogeul です。
日本人の耳には、「キログル」のように聞こえることがあります。

기록 の最後の ㄱ と 을 がつながるため、기록을 全体が 기로글 に近い音になります。

また、확인했다 は、Romanizationでは hwaginhaetda です。
日本人の耳には、「ファギネッタ」のように聞こえることがあります。

一文字ずつ区切って聞こえるのではなく、화긴핻따 に近いまとまりとして聞こえます。

最初から正確に聞き取れなくても問題ありません。
音声をもう一度聞いたときに、「いま聞こえた音が 기록을 だったのか」と結び付けば十分です。"
C0002,기억,gieok,記憶,名詞,나는 그 이름을 기억했다.,naneun geu ireumeul gieokhaetda.,私はその名前を記憶していた。,MEMORIOPOLIS core,memoriopolis::ko::core10,"나는 ＝ 私は
그 이름을 ＝ その名前を
기억했다 ＝ 記憶していた",나는は「私は」です。나が「私」、는が話題を示す「は」に近い働きをします。그 이름을は「その名前を」で、을が覚えていた対象を示します。기억했다は기억하다「記憶する」の過去形です。この場面では過去に覚えていた状態を自然に表すため、「私はその名前を記憶していた」と訳しています。,"나는 그 이름을 기억했다 は、Romanizationでは naneun geu ireumeul gieokhaetda です。
日本人の耳には、「ナヌン ク イルムル キオケッタ」のように聞こえることがあります。

이름을 は、이름 + 을 が続くことで、이르믈 に近くつながって聞こえます。
また、기억했다 は一文字ずつ区切られず、기어캗따 に近いまとまりになります。

音声をもう一度聞き、「イルムル」と「キオケッタ」が 이름을、기억했다 と結び付けば十分です。"
C0003,도시,dosi,都市,名詞,도시의 정오를 알리는 종소리가 울렸다.,dosiui jeongoreul allineun jongsoriga ullyeotda.,都市の正午を知らせる鐘の音が鳴った。,chapter04 section12,memoriopolis::ko::core10,"도시의 정오를 ＝ 都市の正午を
알리는 종소리가 ＝ 知らせる鐘の音が
울렸다 ＝ 鳴った",도시의 정오를は「都市の正午を」です。알리는は알리다「知らせる」が後ろの종소리「鐘の音」を説明する形で、「知らせる鐘の音」となります。종소리가の가は、鳴ったものが鐘の音であることを示します。울렸다は울리다「鳴る」の過去形なので、全体で「都市の正午を知らせる鐘の音が鳴った」となります。,"도시의 정오를 알리는 종소리가 울렸다 は、Romanizationでは dosiui jeongoreul allineun jongsoriga ullyeotda です。
日本人の耳には、「トシエ チョンオルル アルリヌン チョンッソリガ ウルリョッタ」のように聞こえることがあります。

도시의 の 의 は、会話の流れでは「エ」に近く聞こえることがあります。
종소리 は 종쏘리 に近く、울렸다 は 울렫따 に近いまとまりとして聞こえます。

音声をもう一度聞き、「チョンッソリガ ウルリョッタ」が 종소리가 울렸다 と結び付けば十分です。"
C0004,알림,allim,通知,名詞,두 통의 알림이 도착했다.,du tongui allimi dochakhaetda.,二通の通知が届いた。,chapter04 section12,memoriopolis::ko::core10,"두 통의 ＝ 二通の
알림이 ＝ 通知が
도착했다 ＝ 届いた",두は「二つ」、통は手紙や通知などを数える語です。そのため두 통의 알림は「二通の通知」となります。알림이の이は、届いたものが通知であることを示します。도착했다は도착하다「到着する」の過去形です。日本語では通知について「到着した」より「届いた」が自然なので、「二通の通知が届いた」と訳しています。,"두 통의 알림이 도착했다 は、Romanizationでは du tongui allimi dochakhaetda です。
日本人の耳には、「トゥ トンエ アルリミ トチャケッタ」のように聞こえることがあります。

통의 の 의 は、流れの中で「エ」に近く聞こえることがあります。
알림이 は 알림 + 이 がつながって 알리미 となり、도착했다 は 도차캗따 に近いまとまりとして聞こえます。

音声をもう一度聞き、「アルリミ トチャケッタ」が 알림이 도착했다 と結び付けば十分です。"
C0005,회신,hoesin,回信／返信,名詞,회신 버튼이 나타났다.,hoesin beoteuni natanatda.,回信ボタンが現れた。,chapter04 section12,memoriopolis::ko::core10,"회신 버튼이 ＝ 回信ボタンが
나타났다 ＝ 現れた",회신 버튼は「回信ボタン」です。이は、そのボタンが文の中で現れたものだと示します。나타났다は나타나다「現れる」の過去形です。韓国語の語順どおりに意味をつなげると、「回信ボタンが現れた」となります。,"회신 버튼이 나타났다 は、Romanizationでは hoesin beoteuni natanatda です。
日本人の耳には、「フェシン ポトゥニ ナタナッタ」のように聞こえることがあります。

버튼이 は 버튼 + 이 がつながり、버트니 に近く聞こえます。
나타났다 は文字を一つずつ追うより、나타낟따 に近いまとまりとして聞こえます。

音声をもう一度聞き、「ポトゥニ ナタナッタ」が 버튼이 나타났다 と結び付けば十分です。"
C0006,수신인,susinin,受信人／宛先,名詞,그 아래에 회신 대상이 표시되었다.,geu araee hoesin daesangi pyosidoeeotda.,その下に回信の対象が表示された。,chapter04 section12,memoriopolis::ko::core10,"그 아래에 ＝ その下に
회신 대상이 ＝ 回信の対象が
표시되었다 ＝ 表示された",그 아래에の에は、表示された場所を示し、「その下に」となります。회신 대상は直訳すると「回信対象」で、日本語では「回信の対象」とすると自然です。표시되었다は표시하다「表示する」に되다が加わった受け身の形で、「表示された」という意味です。したがって、「その下に回信の対象が表示された」となります。,"그 아래에 회신 대상이 표시되었다 は、Romanizationでは geu araee hoesin daesangi pyosidoeeotda です。
日本人の耳には、「ク アレエ フェシン テサンイ ピョシデオッタ」のように聞こえることがあります。

대상이 は 대상 + 이 が切れずにつながるため、「テサンイ」に近く聞こえます。
표시되었다 も一音ずつではなく、「ピョシデオッタ」に近いまとまりとして聞こえます。

音声をもう一度聞き、「テサンイ ピョシデオッタ」が 대상이 표시되었다 と結び付けば十分です。"
C0007,서명,seomyeong,署名,名詞,서명과 경로는 모두 확인할 수 있었다.,seomyeonggwa gyeongroneun modu hwaginhal su isseotda.,署名と経路はすべて確認できた。,chapter04 section12,memoriopolis::ko::core10,"서명과 경로는 ＝ 署名と経路は
모두 ＝ すべて
확인할 수 있었다 ＝ 確認できた",서명과 경로は「署名と経路」です。과は名詞どうしを結ぶ「と」に近い働きをします。는は、この二つを話題として取り上げています。확인할 수 있었다は、확인하다「確認する」に「できる」を表す-(으)ㄹ 수 있다が付き、さらに過去形になったものです。全体で「署名と経路はすべて確認できた」となります。,"서명과 경로는 모두 확인할 수 있었다 は、Romanizationでは seomyeonggwa gyeongroneun modu hwaginhal su isseotda です。
日本人の耳には、「ソミョングァ キョンノヌン モドゥ ファギナル ス イッソッタ」のように聞こえることがあります。

경로 は、実際の流れでは 경노 に近く聞こえることがあります。
확인할 は確認の 확인 と続く形がつながって「ファギナル」に近く、있었다 は 이썯따 に近いまとまりになります。

音声をもう一度聞き、「キョンノヌン」と「ファギナル ス イッソッタ」が 경로는、확인할 수 있었다 と結び付けば十分です。"
C0008,검증,geomjeung,検証,名詞,외부 검증이 시작되었다.,oebu geomjeungi sijakdoeeotda.,外部検証が始まった。,chapter04 section12,memoriopolis::ko::core10,"외부 검증이 ＝ 外部検証が
시작되었다 ＝ 始まった",외부 검증は「外部検証」です。이は、始まったものが外部検証であることを示します。시작되었다は시작하다「開始する」に되다が加わり、「開始された」「始まった」という意味になります。日本語として自然な「外部検証が始まった」と訳しています。,"외부 검증이 시작되었다 は、Romanizationでは oebu geomjeungi sijakdoeeotda です。
日本人の耳には、「ウェブ コムジュンイ シジャクトェオッタ」のように聞こえることがあります。

외부 は「ウェブ」に近く聞こえることがあります。
검증이 は 검증 + 이 が続いて「コムジュンイ」に近く、시작되었다 は途中で切れず、「シジャクトェオッタ」に近いまとまりとして聞こえます。

音声をもう一度聞き、「コムジュンイ シジャクトェオッタ」が 검증이 시작되었다 と結び付けば十分です。"
C0009,권한,gwonhan,権限,名詞,권한이 없습니다.,gwonhani eopseumnida.,権限がありません。,chapter04 section12,memoriopolis::ko::core10,"권한이 ＝ 権限が
없습니다 ＝ ありません",권한이は「権限が」です。이は、ないものが権限であることを示します。없습니다は없다「ない」の丁寧な言い方です。韓国語では「権限がない」と組み立て、日本語の丁寧な表現にすると「権限がありません」となります。,"권한이 없습니다 は、Romanizationでは gwonhani eopseumnida です。
日本人の耳には、「クォナニ オプスムニダ」のように聞こえることがあります。

권한이 は 권한 + 이 がつながるため、권하니 に近く聞こえます。
없습니다 は、文字どおりに一音ずつ聞こえるのではなく、업씀니다 に近いまとまりになります。

音声をもう一度聞き、「クォナニ オプスムニダ」が 권한이 없습니다 と結び付けば十分です。"
C0010,역할,yeokhal,役割／ロール,名詞,이 역할에는 설정을 변경할 권한이 있습니다.,i yeokhareneun seoljeongeul byeongyeonghal gwonhani itseumnida.,この役割には設定を変更する権限があります。,chapter04 section12,memoriopolis::ko::core10,"이 역할에는 ＝ この役割には
설정을 변경할 ＝ 設定を変更する
권한이 있습니다 ＝ 権限があります",이 역할에는は「この役割には」です。에는は、役割を範囲として取り上げ、「この役割には」と示します。설정을の을は変更する対象が설정「設定」であることを表します。변경할は변경하다「変更する」が後ろの권한「権限」を説明する形です。권한이 있습니다は「権限があります」なので、全体で「この役割には設定を変更する権限があります」となります。,"이 역할에는 설정을 변경할 권한이 있습니다 は、Romanizationでは i yeokhareneun seoljeongeul byeongyeonghal gwonhani itseumnida です。
日本人の耳には、「イ ヨカレヌン ソルチョンウル ピョンギョンハル クォナニ イッスムニダ」のように聞こえることがあります。

역할에는 は 역할 + 에는 がつながり、여카레는 に近く聞こえます。
설정 は 설쩡 に近く、권한이 は 권하니 に近く聞こえます。
また、있습니다 は 읻씀니다 に近いまとまりになります。

音声をもう一度聞き、「ヨカレヌン」と「クォナニ イッスムニダ」が 역할에는、권한이 있습니다 と結び付けば十分です。"
