C0001,catatan,ca-ta-tan /tʃaˈtatan/,記録,名詞,後から参照できるように残した記録。本文では、仕組みの同一性を検証する証拠として使う。,Catatan mana yang dapat membuktikan bahwa mekanismenya masih sama?,どの記録が、その仕組みが今も同じだと証明できますか。,catat,-an,ca-ta-tan,catat「記録する」+ -an → catatan「記録されたもの／記録」,Catatan mana＝どの記録｜yang dapat membuktikan＝証明できる｜bahwa＝〜ということを｜mekanismenya＝その仕組みは｜masih sama＝今も同じ,manaは「どれ／どの」で、catatan manaが「どの記録」です。yangは前の名詞を後ろの説明へつなぎ、dapatは可能、membuktikanは「証明する」です。bahwaは証明内容を導きます。mekanismeに-nyaが付き「その仕組み」、masih samaで「今も同じ」です。,日本語の「記録」に近い。動詞catatに-anが付き、記録されたものを表す名詞になる。,cは「チ」に近い音。三音節をca-ta-tanと保ち、最後のnまで聞く。,section12_ja.md / Indonesian Core10 adaptation,memoriopolis::id::core10
C0002,ingatan,i-nga-tan /iˈŋatan/,記憶,名詞,心に保持されている記憶。ingatは「覚えている」、ingatanは「記憶・記憶内容」。,"Dalam ingatan saya, nama itu jauh lebih pendek.",私の記憶では、その名前はずっと短かった。,ingat,-an,i-nga-tan,ingat「覚えている」+ -an → ingatan「記憶」,Dalam ingatan saya＝私の記憶の中では｜nama itu＝その名前は｜jauh lebih pendek＝ずっと短い,dalamは「〜の中」、ingatan sayaで「私の記憶」です。nama ituは名詞の後ろに指示語ituを置いて「その名前」。lebih pendekは「より短い」で、jauhが比較を強めて「ずっと短い」となります。過去時制は動詞形では示されず、物語の文脈から日本語では「短かった」とします。,外部に残るcatatanに対し、ingatanは心の内側に残る記憶を表す。,ngは/ŋ/で一音。i-nga-tanと区切り、語末tanを弱くしすぎない。,section12_ja.md / Indonesian Core10 adaptation,memoriopolis::id::core10
C0003,kota,ko-ta /ˈkota/,都市,名詞,都市・市。本文では管理権限の内外を分ける空間的な境界にもなる。,Bagaimana dengan bagian yang melewati luar kota?,都市の外を通る部分はどうなりますか。,kota,なし,ko-ta,単純語として扱う。,Bagaimana dengan＝〜はどうですか｜bagian＝部分｜yang melewati＝通過する｜luar kota＝都市の外,bagaimana denganは話題を取り上げて「〜はどうですか」。bagianは「部分」で、yangがmelewati「通過する」という説明を結びます。luar kotaは「都市の外」です。日本語では修飾節を名詞の前へ移し、「都市の外を通る部分は？」とします。,日本語の「市・都市」に対応する。本文では地理だけでなく管理範囲を示す。,oとaを明瞭に保ち、ko-taの二音節で読む。,section12_ja.md / Indonesian Core10 adaptation,memoriopolis::id::core10
C0004,pemberitahuan,pem-be-ri-ta-hu-an /pəmbəritaˈhuan/,通知,名詞,相手へ知らせる内容・通知。電子的な通知にも一般的な知らせにも使える。,Dua pemberitahuan itu masih berjajar pada layar yang sama.,二つの通知は、まだ同じ画面に並んでいた。,tahu,pem- + ber- + -i + -an（語全体はberitahu系）,pem-be-ri-ta-hu-an,memberi tahu「知らせる」に関係する語形成から、pemberitahuan「通知・知らせ」。学習上はberitahu「知らせる」を核として捉える。,Dua pemberitahuan itu＝その二つの通知は｜masih berjajar＝まだ並んでいる｜pada layar yang sama＝同じ画面上に,duaは「二つ」、ituは前の名詞句を「その」と特定します。masihは状態の継続「まだ」、berjajarは「並んでいる」です。padaは場所を示し、layar yang samaはyangがsama「同じ」をlayar「画面」へつないで「同じ画面」となります。物語の時制に合わせ日本語では「並んでいた」とします。,「通知する行為」と「通知された内容」の両方へつながる語。長い派生語に語根の痕跡が残る。,pem-be-ri-ta-hu-anと六つに分ける。最後のhu-anは母音を潰さない。,section12_ja.md / Indonesian Core10 adaptation,memoriopolis::id::core10
C0005,balasan,ba-la-san /baˈlasan/,返信／返答,名詞,問いや連絡に対して返されたもの。balasは「返す・応じる」。,Balasannya sudah datang. Kita akan membukanya.,返信が来ました。それを開きます。,balas,-an、-nya,ba-la-san,balas「返す」+ -an → balasan「返答」；balasannyaはbalasan + -nya「その返信」,Balasannya＝その返信は｜sudah datang＝もう来た｜Kita＝私たちは｜akan membukanya＝それを開くつもりだ,balasanに-nyaが付き「その返信」です。sudahは出来事の成立・完了を示し、datangは「来る」。kitaは聞き手を含む「私たち」、akanはこれから、membukaは「開く」、末尾の-nyaは開く対象「それ」を表します。,tanggapanよりも、返されたメッセージという本文の「返信」に近い。,ba-la-sanの三音節。sは日本語のサ行に近く、語末nを残す。,section12_ja.md / Indonesian Core10 adaptation,memoriopolis::id::core10
C0006,tujuan,tu-ju-an /tuˈdʒuan/,宛先／行き先,名詞,何かが向かう先・目的地。本文ではbalasanの送り先なので「返信先・宛先」と訳す。,"Di bawahnya, tujuan balasan ditampilkan.",その下に、返信先が表示された。,tuju,-an,tu-ju-an,tuju「向かう」+ -an → tujuan「向かう先／目的」,Di bawahnya＝その下に｜tujuan balasan＝返信の宛先が｜ditampilkan＝表示された,diは場所、bawahは「下」、-nyaは「その」を表し、di bawahnyaで「その下に」です。tujuan balasanは前の名詞tujuanを後ろのbalasanが限定し「返信の行き先」。ditampilkanはtampil「現れる／表示される」を基にした受動形で、「表示された」となります。,alamatは住所、penerimaは受取人。ここでは会社名・部署名・役割名とは限らない「向かう先」なのでtujuanを採用する。,tu-ju-anと三音節。jは日本語の「ジャ」行に近い。uとaの間を一音に潰さない。,section12_ja.md / Indonesian Core10 adaptation,memoriopolis::id::core10
C0007,tanda tangan,tan-da ta-ngan /ˌtanda ˈtaŋan/,署名,名詞,直訳は「手のしるし」。署名、電子署名の文脈でも使われる。,Rute dan tanda tangannya dapat diverifikasi.,経路とその署名は検証できます。,tanda + tangan,-nya,tan-da｜ta-ngan,tanda「印」+ tangan「手」→ tanda tangan「署名」；-nyaで「その署名」,Rute dan＝経路と｜tanda tangannya＝その署名は｜dapat diverifikasi＝検証できる,danは名詞を「〜と〜」で結びます。tanda tanganに-nyaが付き「その署名」。dapatは可能「できる」、diverifikasiはdi-による受動形で「検証される」です。日本語では自然に「検証できる」とします。,日本語の「署名」に対応する複合語。電子署名でも文脈上使用できる。,tanganのngは/ŋ/。tandaとtanganを二語のまま保つ。,section12_ja.md / Indonesian Core10 adaptation,memoriopolis::id::core10
C0008,verifikasi,ve-ri-fi-ka-si /verifiˈkasi/,検証,名詞,情報・設定・身元などが正しいことを確かめる手続き。,Kitalah yang meminta verifikasi.,検証を依頼したのは、こちらです。,verifikasi,なし,ve-ri-fi-ka-si,現代語では一語として扱う。関連動詞はmemverifikasi「検証する」、受動形はdiverifikasi。,Kitalah＝私たちこそが｜yang meminta＝依頼した｜verifikasi＝検証を,kitaは聞き手を含む「私たち」で、-lahが焦点を強め「私たちこそ」とします。yangはそのkitaをmeminta「依頼した」で説明します。verifikasiは依頼内容です。日本語では焦点構文として「検証を依頼したのは、こちらです」と訳します。,制度的・技術的な「検証」に近い。派生形memverifikasiとdiverifikasiを横に並べると語幹が見える。,ve-ri-fi-ka-siと五音節。最後から二番目のka付近に強さを感じやすい。,section12_ja.md / Indonesian Core10 adaptation,memoriopolis::id::core10
C0009,wewenang,we-we-nang /wəwəˈnaŋ/,権限,名詞,許可された操作・判断の範囲。本文のシステム上の権限に適する。,Memiliki wewenang dan diperlakukan oleh layar sebagai pemegang wewenang bukanlah hal yang sama.,権限を持つことと、画面から権限保持者として扱われることは同じではありません。,wewenang,なし,we-we-nang,単純語として扱う。pemegang wewenangは「権限を持つ者」。,Memiliki wewenang＝権限を持つこと｜dan＝と｜diperlakukan oleh layar＝画面によって扱われること｜sebagai pemegang wewenang＝権限保持者として｜bukanlah hal yang sama＝同じことではない,memilikiは「持つ」で、文頭では行為を名詞的に「持つこと」と読めます。diperlakukanはperlaku「扱い」にdi-が付く受動形、oleh layarは動作主「画面によって」、sebagaiは「〜として」です。pemegangはpeN- + pegang「持つ」で「保持者」。bukanlahが名詞句を強く否定し、「同じことではない」となります。,otoritasは権威・当局にも広がる。本文の許可された操作範囲にはwewenangを中心語として採用する。,最後のnangは/naŋ/。語頭二つのweを急いで一つにしない。,section12_ja.md / Indonesian Core10 adaptation,memoriopolis::id::core10
C0010,peran,pe-ran /pəˈran/,役割／ロール,名詞,人物の役柄、組織やシステム上の役割。本文では鍵管理に割り当てられたロール。,Kita sudah memastikan bahwa peran itu ada.,私たちは、その役割が存在することを確認しました。,peran,なし,pe-ran,単純語として扱う。berperanはber- + peranで「役割を果たす」。,Kita＝私たちは｜sudah memastikan＝すでに確認した｜bahwa＝〜ということを｜peran itu＝その役割が｜ada＝存在する,kitaは聞き手を含む「私たち」。sudahは確認が成立したことを示します。memastikanはpasti「確か」を基に「確かめる」。bahwaが確認内容を導き、peran ituは「その役割」、adaは「ある／存在する」です。したがって「その役割が存在することを確認した」となります。,tugasは任務・仕事。本文のシステム上のroleにはperanを採用する。,pe-ranの二音節。eは曖昧母音/ə/に近く、ranを明瞭に出す。,section12_ja.md / Indonesian Core10 adaptation,memoriopolis::id::core10
