ID,Portuguese,Pronunciation,Japanese,PartOfSpeech,UsageNote,ExamplePortuguese,ExampleJapanese,Root,Affixes,PerceptualSegmentation,MorphologicalBreakdown,ExampleBreakdown,ExampleExplanation,MeaningBridge,SoundBridge,Source,CourseTags
C0001,registro,ʁeˈʒistɾu,記録,男性名詞,後から確認できる形で残された記録。本文では、仕組みや操作主体を説明する証拠としての記録を指す。,Qual registro permite verificar que ainda é o mesmo mecanismo?,どの記録によって、それが今も同じ仕組みだと確認できますか。,registr-,-o（男性名詞の典型的な語尾）,re｜GIS｜tro,registr-「記録・登録」+ -o → registro「記録」,Qual registro＝どの記録が｜permite verificar＝確認することを可能にする｜que＝〜ということを｜ainda é＝今も〜である｜o mesmo mecanismo＝同じ仕組み,qualは「どの」。permiteの主語はregistroです。que以下が確認内容を示します。ainda éは「今も〜である」。日本語では「どの記録で、今も同じ仕組みだと確認できるか」と自然に並べ替えます。,dadoは個々のデータ、registroは後から参照できるまとまりとしての記録。スペイン語registroとも近い。,強勢はGIS。ブラジル標準の一例では語頭rは/ʁ/、g＋iは/ʒ/、語末oは/u/に近くなる。,section12_pt_br_draft01.md,memoriopolis::pt_br::core10
C0002,memória,meˈmɔɾjɐ,記憶,女性名詞,人の内側に保持される記憶。本文ではIという名前を思い出す内的な記憶を指す。,"Na minha memória, aquele nome era muito mais curto.",私の記憶の中では、その名前はもっとずっと短かった。,memóri-,-a（女性名詞の典型的な語尾）,me｜MÓ｜ria,memóri-「記憶」+ -a → memória「記憶」,Na minha memória＝私の記憶の中では｜aquele nome＝その名前は｜era＝〜だった｜muito mais curto＝もっとずっと短い,naはem＋a。minhaは女性名詞memóriaに一致します。eraはserの不完全過去で、過去の持続的な状態を表します。muitoが比較級mais curtoを強めます。,lembrançaは個別の思い出にも使う。memóriaは記憶能力や記憶領域を広く表す。スペイン語memoriaと近いが、ポルトガル語ではアクセント記号が付く。,強勢はMÓ。óは開母音/ɔ/。語中rは一度だけ弾き、riaを滑らかにつなぐ。,section12_pt_br_draft01.md,memoriopolis::pt_br::core10
C0003,cidade,siˈdadʒi,都市,女性名詞,都市・市。本文では運用局の内外で権限が変わる制度上の境界でもある。,E no trecho que passa fora da cidade?,では、都市の外を通る区間はどうなりますか。,cidad-,-e（女性名詞語尾）,ci｜DA｜de,cidad-「都市」+ -e → cidade「都市」,E＝では／そして｜no trecho＝その区間では｜que passa＝通る｜fora da cidade＝都市の外を,noはem＋o、daはde＋aです。que passa fora da cidadeがtrechoを後ろから説明します。日本語では説明を前へ移し、「都市の外を通る区間」とします。,場所としての都市に加え、制度と権限の境界を表す。スペイン語ciudadと同源。,強勢はDA。ブラジルの代表的発音では語末deが/dʒi/に近くなる。ciは/si/。,section12_pt_br_draft01.md,memoriopolis::pt_br::core10
C0004,notificação,notifikaˈsɐ̃w̃,通知,女性名詞,システムや組織から届く通知。本文では毎朝の通知と未知の送信元から来た通知を指す。,As duas notificações ainda estavam lado a lado na mesma tela.,二つの通知は、まだ同じ画面に並んでいた。,notific-,-ação（動作・結果を表す名詞化接尾辞）,no｜ti｜fi｜ca｜ÇÃO,notific-「知らせる」+ -ação → notificação「通知」,As duas notificações＝二つの通知は｜ainda estavam＝まだ〜だった｜lado a lado＝並んで｜na mesma tela＝同じ画面に,asは女性複数の定冠詞で、notificaçõesと一致します。estavamはestarの不完全過去。lado a ladoは「横に並んで」。naはem＋aです。,avisoも知らせだが、システム上の正式な通知にはnotificaçãoが適する。スペイン語notificaciónと対応する。,強勢はÇÃO。-ãoは鼻母音を含み、語末nを独立して発音しない。複数形はnotificações。,section12_pt_br_draft01.md,memoriopolis::pt_br::core10
C0005,resposta,ʁesˈpɔstɐ,返信／応答,女性名詞,質問や通知への返事・応答。本文では届いた返信と返信欄の双方を指す。,A resposta chegou. Nós a abrimos.,返信が届きました。私たちはそれを開きます。,respond- / respost-,-a（女性名詞語尾）,res｜POS｜ta,respond-「答える」に対応する名詞形 resposta「返答」,A resposta＝その返信が｜chegou＝届いた｜Nós＝私たちは｜a＝それを｜abrimos＝開く,chegouはchegarの完了過去で、到着した出来事を表します。2文目のaは女性名詞respostaを受ける目的語代名詞です。日本語では状況に応じ「それを開きます」とします。,responderは「答える／返信する」。respostaは返信そのものにも応答内容にも使える。スペイン語respuestaと同源。,強勢はPOS。語頭rは/ʁ/、óは開母音/ɔ/。語末aは弱い/ɐ/に近い。,section12_pt_br_draft01.md,memoriopolis::pt_br::core10
C0006,destinatário,dʒestʃinaˈtaɾju,宛先／受取人,男性名詞,メッセージや返信の送り先となる人・主体。本文では人名や部署名とは限らない返信先を指す。,Abaixo apareceu o destinatário da resposta.,その下に、返信先が表示された。,destinat-,-ário（関係する人・対象を表す接尾辞）,des｜ti｜na｜TÁ｜rio,destinat-「向けられた先」+ -ário → destinatário「受取人・宛先」,Abaixo＝その下に｜apareceu＝現れた｜o destinatário＝宛先が｜da resposta＝返信の,abaixoを文頭に置き、場所を先に示します。apareceuは完了過去で、表示された瞬間を表します。o destinatárioが主語ですが、動詞の後ろにあります。daはde＋aです。,endereçoは住所・アドレス、destinoは到達先。受け取る主体にはdestinatárioが適する。スペイン語destinatarioに対応。,強勢はTÁ。ブラジルの一例では語頭deが/dʒe/、tiが/tʃi/に近くなる場合がある。語中rは弾き音。,section12_pt_br_draft01.md,memoriopolis::pt_br::core10
C0007,assinatura,asinaˈtuɾɐ,署名,女性名詞,署名。本文では送信主体を確認する電子署名も含む。,Tanto a assinatura quanto a rota podiam ser verificadas.,署名も経路も、どちらも確認できました。,assin-,-atura（動作・結果を表す名詞接尾辞）,as｜si｜na｜TU｜ra,assin-「署名する」+ -atura → assinatura「署名」,Tanto a assinatura quanto a rota＝署名も経路も｜podiam＝〜できた｜ser verificadas＝確認される,tanto A quanto Bは「AもBも」。podiamはpoderの不完全過去。ser verificadasは受け身で、過去分詞verificadasは女性複数のassinaturaとrotaに一致します。,assinarは署名する。assinaturaは手書き・電子の両方に使える。スペイン語firmaとは語形が異なる。,強勢はTU。ssは/s/。語中rは一度だけ弾き、語末aは弱く発音する。,section12_pt_br_draft01.md,memoriopolis::pt_br::core10
C0008,verificação,veɾifikaˈsɐ̃w̃,検証,女性名詞,正しさや対応関係を検証すること。本文では外部検証と設定確認に用いる。,Fomos nós que solicitamos a verificação.,検証を依頼したのは、こちらです。,verific-,-ação（動作・結果を表す名詞化接尾辞）,ve｜ri｜fi｜ca｜ÇÃO,verific-「真であることを確かめる」+ -ação → verificação「検証」,Fomos nós＝私たちだった｜que＝〜したのは｜solicitamos＝依頼した｜a verificação＝その検証を,fomos nós que...は「〜したのは私たちだ」と焦点を置く構文です。solicitamosは語尾-mosから主語が私たちだと分かります。日本語では「依頼したのはこちらです」とします。,comprovaçãoは証明・裏付けにも使う。verificaçãoは設定や主体の正当性を確かめる技術的文脈に合う。,強勢はÇÃO。-çãoは/sɐ̃w̃/に近い鼻母音。スペイン語verificaciónでは/θ/だが、ブラジル・ポルトガル語では/s/。,section12_pt_br_draft01.md,memoriopolis::pt_br::core10
C0009,permissão,peʁmiˈsɐ̃w̃,権限／許可,女性名詞,操作を実行するための許可・権限。本文ではシステム上の複数の権限をpermissõesと表す。,Esta função tem permissões para alterar a configuração.,この役割には、設定を変更する権限があります。,permiss-,-ão（抽象名詞語尾）,per｜mis｜SÃO,permiss-「許可」+ -ão → permissão「許可・権限」,Esta função＝この役割は｜tem＝持っている｜permissões＝権限を｜para alterar＝変更するための｜a configuração＝設定を,terは「持つ」。para＋不定詞が目的・用途を示します。日本語では所有者を「この役割には」として自然に訳します。複数形permissõesは複数の操作権限を表します。,autorizaçãoは承認行為にも使う。システム権限の個々の許可にはpermissãoが自然。スペイン語permisoと同源。,強勢はSÃO。-ãoは鼻母音。複数形では-õesとなり、permissões。語中rは地域により/ʁ/寄り。,section12_pt_br_draft01.md,memoriopolis::pt_br::core10
C0010,função,fũˈsɐ̃w̃,役割／機能,女性名詞,人・組織・システムへ割り当てられた役割・機能。本文では鍵管理や設定変更の権限を持つシステム上のロール。,Verificamos que a função existe.,その役割が存在することは確認しました。,funç-,-ão（抽象名詞語尾）,fun｜ÇÃO,funç-「機能・役割」+ -ão → função「機能・役割」,Verificamos＝私たちは確認した｜que＝〜ということを｜a função＝その役割が｜existe＝存在する,verificamosは語尾-mosから主語が「私たち」だと分かるため、nósは省略されています。que以下が確認内容で、a função existeが「その役割が存在する」です。,papelは一般的役割、perfilは権限プロファイル、funçãoは制度やシステム内の機能的役割に使える。英語由来のroleに近い語としてfunçãoを採用。,強勢はÇÃO。語頭fun-の母音は鼻音化しやすい。-çãoは鼻母音で終わる。,section12_pt_br_draft01.md,memoriopolis::pt_br::core10
