ID,English,IPA,Japanese,PartOfSpeech,EnglishGrammar,ExampleEnglish,ExampleIPA,ExampleJapanese,Source,CourseTags,ExampleBreakdown,ExampleExplanation,ExamplePronunciationHint,UsageNote,ConceptContrast
C0001,record,/ˈrek.ərd/,記録,名詞,可算名詞。本文では a single continuous chain of records の複数形 records として使われ、正しさを支える連続した記録の鎖を表す。,"We knew it was authorized, yet we could not explain its validity through a single continuous chain of records.","/wiː nuː ɪt wəz ˈɔːθəraɪzd, jet wiː kʊd nɒt ɪkˈspleɪn ɪts vəˈlɪdəti θruː ə ˈsɪŋɡəl kənˈtɪnjuəs tʃeɪn əv ˈrekərdz/",私たちは、それが正式に認められたものだと知っていた。それでも、その有効性を一続きの記録の鎖によって説明することはできなかった。,section12_en,memoriopolis::en::core10,We knew＝私たちは知っていた｜it was authorized＝それが正式に認められていた｜yet＝それでも｜could not explain＝説明できなかった｜its validity＝その有効性を｜through a single continuous chain of records＝一続きの記録の鎖を通して,authorized であることと、記録によって validity を連続的に説明できることを分けています。yet が、認可済みという事実と説明不能という状態の対立を作ります。,名詞 record は第1音節に強勢があり、「レカド」に近く聞こえます。records の語末は /dz/ で、日本語の「ズ」より子音が連続します。,名詞は /ˈrek.ərd/。動詞「記録する」は通常 /rɪˈkɔːrd/ で、強勢位置が後ろへ移る。,記録が存在することと、正しさを説明できる連続した記録があることは同じではない。
C0002,memory,/ˈmem.ər.i/,記憶,名詞,不可算・可算の両方で使える。本文の In my memory は、話者の記憶の中でという認識上の範囲を示す。,"In my memory, it had been a much shorter name.","/ɪn maɪ ˈmeməri, ɪt hæd bɪn ə mʌtʃ ˈʃɔːrtər neɪm/",私の記憶では、それはずっと短い名前だった。,section12_en,memoriopolis::en::core10,In my memory＝私の記憶では｜it had been＝それは以前〜だった｜a much shorter name＝ずっと短い名前,had been は、現在の画面を見る時点より前に記憶されていた状態を示します。much は比較級 shorter を強めます。,memory は「メモリー」に近いですが、第1音節 mem に強勢があります。中央の /ər/ は弱く短くなります。,remember は動詞、memory は名詞。in my memory は「私の記憶の中では」「私の記憶によれば」に相当する。,記録 record が外部に残るものなら、memory は話者の内部に残るものとして対照化される。
C0003,city,/ˈsɪt.i/,都市,名詞,可算名詞。本文では Onshoku City の固有名詞内と outside the city の一般名詞で現れる。,And the part that passes outside the city?,/ænd ðə pɑːrt ðæt ˈpæsɪz ˌaʊtˈsaɪd ðə ˈsɪti/,では、都市の外を通る部分は？,section12_en,memoriopolis::en::core10,And＝では｜the part＝その部分は｜that passes＝通過する｜outside the city＝都市の外側を,that passes outside the city が the part を後ろから限定します。完全な平叙文ではなく、省略された問いとして、管轄が都市外へ及ぶ部分を示します。,city は「シティ」に近く、第1音節に強勢があります。語頭は /s/ で、日本語の「シ」より母音を弱くします。,city は行政単位としての都市にも、物語上の都市空間にも使える。outside the city は制度上の管轄外も暗示する。,都市の内側で管理者であることと、都市外を通る部分にも権限を持つことは同じではない。
C0004,notification,/ˌnoʊ.t̬ə.fəˈkeɪ.ʃən/,通知,名詞,可算名詞。本文では二つの通知を対比し、a notification、the notification、notifications と単複・定冠詞を使い分ける。,The two notifications were still side by side on the same screen.,/ðə tuː ˌnoʊtəfəˈkeɪʃənz wər stɪl ˌsaɪd baɪ ˈsaɪd ɑːn ðə seɪm skriːn/,二つの通知は、まだ同じ画面に並んでいた。,section12_en,memoriopolis::en::core10,The two notifications＝その二つの通知は｜were still＝まだ〜だった｜side by side＝並んで｜on the same screen＝同じ画面上に,the two で既知の二項を指し、side by side が並列状態を表します。still は、その状態が継続していることを示します。,notification は最後に近い -ca- /keɪ/ に主強勢があります。「ノウティフィケイション」のように、前半を弱く、ケイを強く聞きます。,notice よりも、システムや組織から届けられる正式な通知という意味に適する。,二つの通知は同じ画面に並ぶが、同じ仕方で信頼できるとは限らない。
C0005,reply,/rɪˈplaɪ/,返信／返答,名詞・動詞,名詞と動詞で同じ綴り・同じ強勢。本文では A reply came の名詞、If we reply の動詞、reply button の複合名詞修飾に現れる。,"A reply came. We open it. That’s the normal procedure, isn’t it?","/ə rɪˈplaɪ keɪm. wiː ˈoʊpən ɪt. ðæts ðə ˈnɔːrməl prəˈsiːdʒər, ˈɪzənt ɪt/",返信が来た。それを開く。それが通常の手順ですよね？,section12_en,memoriopolis::en::core10,A reply came＝返信が来た｜We open it＝私たちはそれを開く｜That’s the normal procedure＝それが通常の手順だ｜isn’t it?＝そうですよね,短い現在形 We open it は通常手順を述べています。付加疑問 isn’t it? は、相手に同意を求めます。,reply は後半 ply /plaɪ/ に強勢があり、「リプライ」に近く聞こえます。語頭 re- は弱い /rɪ/ です。,answer より、届いたメッセージへの応答という方向性が明確。reply to a message のように to を伴う。,返信が届いたことと、返信する権限や返信先が確定していることは同じではない。
C0006,addressee,/ˌæd.reˈsiː/,宛先人／受取人,名詞,可算名詞。本文タイトル A Reply Without an Addressee で、without が受取主体の欠如を示す。,A reply field without an addressee stood open on the screen.,/ə rɪˈplaɪ fiːld wɪˈðaʊt ən ˌædreˈsiː stʊd ˈoʊpən ɑːn ðə skriːn/,宛先人のない返信欄が、画面上に開いたままになっていた。,section12_en,memoriopolis::en::core10,A reply field＝返信欄が｜without an addressee＝宛先人なしで｜stood open＝開いた状態で存在した｜on the screen＝画面上に,without an addressee が reply field を後ろから説明します。stood open は単なる opened ではなく、開いた状態がそこに残っていることを描写します。,addressee は最後の -see /siː/ に主強勢があり、「アドレシー」に近く聞こえます。address の名詞発音とは強勢位置が異なります。,addressee はメッセージを宛てられた人。address は住所・宛先情報、recipient は実際の受取人を広く表す。,返信欄が存在しても、誰に向けた返信なのかは確定していない。
C0007,signature,/ˈsɪɡ.nə.tʃɚ/,署名,名詞,可算名詞。本文では signature and route を並列し、メッセージを開く前に検証できる情報として扱う。,"The route and signature, yes, the operator said.","/ðə ruːt ænd ˈsɪɡnətʃɚ, jes, ði ˈɑːpəreɪtər sed/",「経路と署名なら、はい」と担当者は言った。,section12_en,memoriopolis::en::core10,The route and signature＝経路と署名は｜yes＝確認できる｜the operator said＝担当者は言った,前の質問 Can you verify everything...? への省略応答です。yes は経路と署名についてのみ肯定し、message 自体の検証とは切り離します。,signature は第1音節 sig に強勢があります。「シグナチャー」に近く、-ture は /tʃɚ/ とまとまります。,digital signature の文脈では電子署名。署名者情報と、実際に後続処理を実行した主体は別になり得る。,署名を検証できることは、内容、復号鍵、停止主体を検証できることを保証しない。
C0008,verification,/ˌver.ə.fəˈkeɪ.ʃən/,検証／確認,名詞,不可算または可算。本文の external verification は外部検証という処理を表し、while external verification is in progress で進行中の状態を示す。,Unverified routes using the same sender name have been suspended while external verification is in progress.,/ʌnˈverəfaɪd ruːts ˈjuːzɪŋ ðə seɪm ˈsendər neɪm hæv bɪn səˈspendɪd waɪl ɪkˈstɜːrnəl ˌverəfəˈkeɪʃən ɪz ɪn ˈprɑːɡres/,同じ送信者名を使う未検証の経路は、外部検証の進行中、停止されています。,section12_en,memoriopolis::en::core10,Unverified routes＝未検証の経路は｜using the same sender name＝同じ送信者名を使う｜have been suspended＝停止されている｜while＝〜の間｜external verification is in progress＝外部検証が進行中である,have been suspended は現在まで続く受動の結果状態です。while 以下が停止の期間条件を示しますが、誰が停止したかは文中に現れません。,verification は -ca- /keɪ/ に主強勢があります。「ヴェリフィケイション」のケイを強くします。unverified は verified の前に un- が付いた否定形です。,verify は動詞、verification は名詞。validation と近いが、本文では記録や条件を実際に確かめる処理を指す。,検証中であるという表示は、停止主体や停止権限が検証済みであることを意味しない。
C0009,authority,/əˈθɔːr.ə.t̬i/,権限,名詞,不可算名詞として have the authority to do の形で「〜する権限がある」。authority holder は権限保有者。,Your having the authority and the screen trying to treat you as the authority holder are not the same.,/jʊr ˈhævɪŋ ði əˈθɔːrəti ænd ðə skriːn ˈtraɪɪŋ tə triːt juː æz ði əˈθɔːrəti ˈhoʊldər ɑːr nɑːt ðə seɪm/,あなたに権限があることと、画面があなたを権限保有者として扱おうとしていることは、同じではありません。,section12_en,memoriopolis::en::core10,Your having the authority＝あなたに権限があること｜and＝そして｜the screen trying to treat you＝画面があなたを扱おうとすること｜as the authority holder＝権限保有者として｜are not the same＝同じではない,二つの動名詞相当のまとまりが and で並び、複数主語として are を取ります。treat A as B は「AをBとして扱う」。存在する権限と、画面の取り扱いを分離する核心文です。,authority は thor /θɔːr/ に強勢があり、「オソーリティ」に近く聞こえます。/θ/ は舌先を歯の間に軽く置きます。,authority は制度上の権限・権威。permission は個別の許可、authorization は認可という行為・状態を表しやすい。,実際に権限を持つことと、システムが権限保有者として表示・処理することは同一ではない。
C0010,role,/roʊl/,役割／ロール,名詞,可算名詞。本文では制度・システム上の役割を指す。the role exists と the role still manages the same key を分けて検証する。,We verified that the role exists.,/wiː ˈverəfaɪd ðæt ðə roʊl ɪɡˈzɪsts/,私たちは、その役割が存在することを確認しました。,section12_en,memoriopolis::en::core10,We verified＝私たちは確認した｜that＝〜ということを｜the role exists＝その役割が存在する,that節が verified の内容です。確認されたのは role exists だけであり、現在も同じ鍵を管理していることまでは含みません。,role は一音節で「ロウル」に近く、/oʊ/を滑らせた後、語末の /l/ で舌先を上歯茎へ近づけます。,人物の役柄にも、組織・システム上の職務や権限集合にも使える。本文では後者。,役割の存在確認と、その役割が現在も同じ機能・鍵・権限を保持することの確認は別である。
