C0001,registro,reˈxistɾo,記録,男性名詞,後で確認できる形で残された記録。本文では、仕組みや操作主体を説明する証拠としての記録を指す。,¿Qué registro permite verificar que sigue siendo el mismo mecanismo?,どの記録によって、それが今も同じ仕組みだと確認できますか。,registr-,-o（男性名詞の典型的な語尾）,re｜GIS｜tro,registr-「記録・登録」+ -o → registro「記録」,Qué registro＝どの記録が｜permite verificar＝確認することを可能にする｜que＝〜ということを｜sigue siendo＝今も〜であり続ける｜el mismo mecanismo＝同じ仕組み,quéは疑問の「どの」でアクセント記号が必要です。permiteの主語はregistroで、「その記録が確認を可能にする」という構造です。seguir＋現在分詞のsigue siendoは状態の継続を表し、日本語では「今も同じ仕組みである」と自然に訳します。,日本語の「記録」に近い。datoは個々のデータ、registroは後から参照できるまとまりとしての記録。,アクセントはGIS。スペインの発音ではg＋iが強い摩擦音/x/になり、単独のrは短く弾く。,section12_es_draft01.md,memoriopolis::es::core10
C0002,memoria,meˈmoɾja,記憶,女性名詞,人の内側に保持される記憶。本文では「I」という名前を思い出す内的な記憶を指す。,"En mi memoria, aquel nombre era mucho más corto.",私の記憶の中では、その名前はもっとずっと短かった。,memori-,-a（女性名詞の典型的な語尾）,me｜MO｜ria,memori-「記憶」+ -a → memoria「記憶」,En mi memoria＝私の記憶の中では｜aquel nombre＝その名前は｜era＝〜だった｜mucho más corto＝もっとずっと短い,en mi memoriaは「私の記憶の中では」です。aquelは話し手から心理的・時間的に離れたものを指す「その／あの」。eraはserの線過去で、過去の持続的な状態を表します。muchoが比較級más cortoを強めます。,recuerdoは個別の思い出にも使う。memoriaは記憶能力や記憶の領域を広く表し、本文の概念語に合う。,アクセントはMO。語中のrは巻きすぎず、一度だけ舌先を弾く。iaは滑らかにつなぐ。,section12_es_draft01.md,memoriopolis::es::core10
C0003,ciudad,θjuˈðað,都市,女性名詞,都市・市。本文では運用局の内外で権限が変わる制度上の境界でもある。,¿Y en el tramo que pasa fuera de la ciudad?,では、都市の外を通る区間はどうなりますか。,ciudad,なし,ciu｜DAD,単純語。語末子音で終わるが女性名詞で、冠詞はla ciudad。,Y＝では／そして｜en el tramo＝その区間では｜que pasa＝通る｜fuera de la ciudad＝都市の外を,tramoは「区間」、後ろのque pasa fuera de la ciudadがtramoを説明します。スペイン語は名詞の後ろに関係節を置きます。日本語では説明を前へ移し、「都市の外を通る区間」とします。,場所としての「都市」に加え、管理制度の内側と外側を分ける境界として働く。,アクセントはDAD。スペイン標準ではciのcは/θ/。母音間のdは弱い摩擦音になり、語末dも強く破裂させない。,section12_es_draft01.md,memoriopolis::es::core10
C0004,notificación,notifikaˈθjon,通知,女性名詞,システムや組織から届く通知。本文では毎朝の通知と、未知の送信元から来た通知を指す。,Las dos notificaciones seguían una junto a la otra en la misma pantalla.,二つの通知は、まだ同じ画面に並んでいた。,notific-,-ación（動作・結果を表す名詞化接尾辞）,no｜ti｜fi｜ca｜CIÓN,notific-「知らせる」+ -ación → notificación「通知すること／通知」,Las dos notificaciones＝二つの通知は｜seguían＝続いていた｜una junto a la otra＝互いに隣り合って｜en la misma pantalla＝同じ画面上に,lasは女性複数の定冠詞で、notificacionesと性・数が一致します。seguíanはseguirの線過去で、状態の継続を表します。una junto a la otraは直訳すると「一つがもう一つの隣に」で、日本語では「並んでいた」とまとめます。,avisoも「知らせ」だが、システムから届く正式な通知にはnotificaciónが適する。,アクセント記号のあるCIÓNが強勢。スペイン標準ではciは/θi/、最後のnまで明瞭に発音する。,section12_es_draft01.md,memoriopolis::es::core10
C0005,respuesta,resˈpwesta,返信／応答,女性名詞,質問や通知への返事・応答。本文では届いた返信と返信欄の双方に関わる。,Ha llegado la respuesta. La abrimos.,返信が届きました。それを開きます。,respond- / respuest-,-a（名詞語尾）,res｜PUES｜ta,respond-「答える」に対応する名詞形 respuesta「返答」,Ha llegado＝届いた｜la respuesta＝その返信が｜La＝それを｜abrimos＝私たちは開く,ha llegadoはhaber＋過去分詞の現在完了で、「届いた結果が現在に関係している」ことを表します。2文目のlaは女性名詞respuestaを受ける直接目的語代名詞です。abrimosは主語を省略していますが、語尾-mosから「私たち」が分かります。,返信メールそのものにも、問いへの応答にも使える。responderは動詞「返信する／答える」。,アクセントはPUES。ueは一続きの二重母音。語頭のrは強めに発音されるが、rrの綴りではない。,section12_es_draft01.md,memoriopolis::es::core10
C0006,destinatario,destinaˈtaɾjo,宛先／受取人,男性名詞,メッセージや返信の送り先となる人・主体。本文では人名や部署名とは限らない返信先を指す。,Debajo apareció el destinatario de la respuesta.,その下に、返信先が表示された。,destinat-,-ario（関係する人・対象を表す接尾辞）,des｜ti｜na｜TA｜rio,destinat-「向けられた先」+ -ario → destinatario「受取人・宛先」,Debajo＝その下に｜apareció＝現れた｜el destinatario＝宛先が｜de la respuesta＝返信の,スペイン語では場所を表すdebajoを文頭に置けます。aparecióはaparecerの点過去で、表示された瞬間を表します。el destinatarioが主語ですが、動詞の後ろに置かれています。de la respuestaが「返信の」を作ります。,direcciónは住所・アドレス、destinoは到達先。本文では返信を受け取る主体を指すためdestinatarioを採用する。,アクセントはTA。単独のrは一度だけ弾く。rioは二音節に分かれず滑らかにつながる。,section12_es_draft01.md,memoriopolis::es::core10
C0007,firma,ˈfiɾma,署名,女性名詞,署名。本文では送信主体を確認する電子署名も含む。,Tanto la firma como la ruta podían verificarse.,署名も経路も、どちらも確認できました。,firm-,-a（女性名詞語尾）,FIR｜ma,firm-「署名・確定」+ -a → firma「署名」,Tanto la firma como la ruta＝署名も経路も｜podían＝〜できた｜verificarse＝検証される,tanto A como Bは「AもBも」です。podíanはpoderの線過去で、過去の状況における可能性を表します。verificarseのseは受け身的に働き、「確認され得た」となります。日本語では「確認できた」と自然に訳します。,firmarは「署名する」。firmaは手書き署名だけでなく、電子署名にも用いられる。,アクセントはFIR。rは一度だけ弾き、後続のmへ移る。fは下唇と上の歯で作る。,section12_es_draft01.md,memoriopolis::es::core10
C0008,verificación,beɾifikaˈθjon,検証,女性名詞,正しさや対応関係を検証すること。本文では外部検証と設定確認に用いる。,Fuimos nosotros quienes solicitamos la verificación.,検証を依頼したのは、こちらです。,verific-,-ación（動作・結果を表す名詞化接尾辞）,ve｜ri｜fi｜ca｜CIÓN,verific-「真であることを確かめる」+ -ación → verificación「検証」,Fuimos nosotros＝私たちだった｜quienes＝〜した者は｜solicitamos＝依頼した｜la verificación＝その検証を,fuimos nosotrosが「私たちだった」と焦点を置き、quienes以下が「検証を依頼した者」を説明します。solicitamosは語尾-mosから主語が「私たち」だと分かります。日本語では「検証を依頼したのはこちらです」と焦点構文にします。,comprobaciónも確認・検査。verificaciónは記録や主体の正当性を確かめる技術的文脈に適する。,アクセントはCIÓN。スペイン標準では語中のvは/b/系、ciは/θi/。,section12_es_draft01.md,memoriopolis::es::core10
C0009,permiso,peɾˈmiso,権限／許可,男性名詞,操作を実行するための許可・権限。本文ではシステムに設定された複数の権限をpermisosと表す。,Este rol tiene permisos para modificar la configuración.,この役割には、設定を変更する権限があります。,permis-,-o（男性名詞語尾）,per｜MI｜so,permis-「許可」+ -o → permiso「許可・権限」,Este rol＝この役割は｜tiene＝持っている｜permisos＝権限を｜para modificar＝変更するための｜la configuración＝設定を,tenerは「持つ」なので、直訳は「この役割は権限を持つ」です。para＋不定詞が目的・用途を示し、「設定を変更するための」とpermisoを説明します。日本語では所有者を「〜には」として自然に訳します。,autoridadは権威・権限主体、autorizaciónは承認行為。システム操作権限にはpermisosが自然。,アクセントはMI。単独のrは弾き音。スペイン標準ではsは/s/で、濁らせない。,section12_es_draft01.md,memoriopolis::es::core10
C0010,rol,rol,役割／ロール,男性名詞,人・組織・システムへ割り当てられた役割。本文では鍵管理や設定変更の権限を持つシステム上のロール。,Hemos confirmado que el rol existe.,その役割が存在することは確認しました。,rol,なし,ROL,英語roleに由来する借用語。スペイン語ではrol。,Hemos confirmado＝私たちは確認した｜que＝〜ということを｜el rol＝その役割が｜existe＝存在する,hemos confirmadoはhaber＋過去分詞の現在完了です。主語代名詞nosotrosは語形hemosから分かるため省略されています。queが確認内容を導き、el rol existeで「その役割が存在する」となります。,papelは一般的な役割にも使う。アクセス制御やシステム上のroleにはrolが広く使われる。,一音節語なので全体を明瞭に発音する。語頭rは強い巻き舌、語末lは舌先を歯茎につける。,section12_es_draft01.md,memoriopolis::es::core10
