ID,French,Pronunciation,Japanese,PartOfSpeech,UsageNote,ExampleFrench,ExampleJapanese,Root,Affixes,PerceptualSegmentation,MorphologicalBreakdown,ExampleBreakdown,ExampleExplanation,MeaningBridge,SoundBridge,Source,CourseTags
C0001,enregistrement,ɑ̃ʁəʒistʁəmɑ̃,記録,男性名詞,後から確認できる形で残された記録。本文では仕組みや操作主体を説明する証拠としての記録を指す。,Quel enregistrement permet de vérifier qu’il s’agit toujours du même mécanisme ?,どの記録によって、それが今も同じ仕組みだと確認できますか。,enregistr-,-ement（動作・結果を表す名詞化接尾辞）,en｜re｜gis｜tre｜ment → 聞こえ方: ɑ̃-ʁə-ʒis-tʁə-mɑ̃,enregistrer「記録する」+ -ement → enregistrement「記録」,Quel enregistrement＝どの記録が｜permet de vérifier＝確認することを可能にする｜qu’il s’agit＝それが〜であることを｜toujours＝今も｜du même mécanisme＝同じ仕組みの,quelは男性名詞enregistrementに一致します。permetの主語はenregistrementです。il s’agit deは「〜のことである」。de＋leがduになり、qu’il以下が確認内容を作ります。,英語register、イタリア語・スペイン語・ポルトガル語registroと同じ語源圏。フランス語では長い名詞形になる。,語頭enと語末-mentは鼻母音。語末tは発音しない。書記上は一語だが、音ではɑ̃-ʁə-ʒis-tʁə-mɑ̃のまとまり。,section12_fr_draft01.md,memoriopolis::fr::core10
C0002,mémoire,memwaʁ,記憶,女性名詞,人の内側に保持される記憶。本文ではIという名前を思い出す内的な記憶を指す。,"Dans ma mémoire, ce nom était beaucoup plus court.",私の記憶の中では、その名前はもっとずっと短かった。,mémor-,-oire（名詞語尾）,mé｜moire → 聞こえ方: mé-mwar,mémor-「記憶」+ -oire → mémoire「記憶」,Dans ma mémoire＝私の記憶の中では｜ce nom＝その名前は｜était＝〜だった｜beaucoup plus court＝もっとずっと短い,dansは場所の「〜の中で」。maは女性名詞mémoireに一致します。étaitはêtreの半過去で、過去の状態を表します。beaucoupが比較級plus courtを強めます。,英語memory、スペイン語・イタリア語memoria、ポルトガル語memóriaと同系。フランス語ではmémoire。,oiは/wa/。語末eは発音しない。rは喉の奥の/ʁ/。単語全体は二つの知覚単位に近い。,section12_fr_draft01.md,memoriopolis::fr::core10
C0003,ville,vil,都市,女性名詞,都市・市。本文では運用局の内外で権限が変わる制度上の境界でもある。,Et sur le tronçon qui passe à l’extérieur de la ville ?,では、都市の外を通る区間はどうなりますか。,vill-,-e（女性名詞語尾。音では原則発音しない）,ville → 聞こえ方: vil,vill-「都市」+ 無音の-e → ville「都市」,Et＝では／そして｜sur le tronçon＝その区間では｜qui passe＝通る｜à l’extérieur de la ville＝都市の外を,qui passeがtronçonを後ろから説明します。à l’extérieur deは「〜の外に／外を」。de laは女性名詞villeに対応します。日本語では関係節を前へ移します。,英語villageの語源圏と関係するが、現代フランス語villeは「都市・町」。,llはここでは/j/にならず/l/。語末eは無音。綴り5文字に対して、音はほぼ一音節/vil/。,section12_fr_draft01.md,memoriopolis::fr::core10
C0004,notification,nɔtifikasjɔ̃,通知,女性名詞,システムや組織から届く通知。本文では毎朝の通知と未知の送信元から届いた通知を指す。,Les deux notifications étaient encore affichées côte à côte sur le même écran.,二つの通知は、まだ同じ画面に並んで表示されていた。,notific-,-ation（動作・結果を表す名詞化接尾辞）,no｜ti｜fi｜ca｜tion → 聞こえ方: no-ti-fi-ka-syon,notific-「知らせる」+ -ation → notification「通知」,Les deux notifications＝二つの通知は｜étaient encore affichées＝まだ表示されていた｜côte à côte＝並んで｜sur le même écran＝同じ画面上に,lesは複数定冠詞。étaientはêtreの半過去です。affichéesは女性複数notificationsに一致します。côte à côteは「並んで」。sur le même écranが場所を示します。,英語notification、スペイン語notificación、ポルトガル語notificaçãoと近い国際語。,-tionは/sjɔ̃/で、onは鼻母音。複数形notificationsの語末sも発音しない。語境界より母音と鼻音のまとまりを聞く。,section12_fr_draft01.md,memoriopolis::fr::core10
C0005,réponse,ʁepɔ̃s,返信／応答,女性名詞,質問や通知への返事・応答。本文では届いた返信と返信欄の双方を指す。,Une réponse est arrivée. Nous l’ouvrons.,返信が届きました。それを開きます。,répond- / respons-,-e（女性名詞語尾。音では原則無音）,ré｜ponse → 聞こえ方: ré-pons,répondre「答える」に対応する名詞 réponse「返答」,Une réponse＝一つの返信が｜est arrivée＝届いた｜Nous l’ouvrons＝私たちはそれを開く,est arrivéeは複合過去で、助動詞êtreを使うためarrivéeが女性名詞réponseに一致します。l’はréponseを受ける直接目的語代名詞です。,英語response、スペイン語respuesta、ポルトガル語resposta、イタリア語rispostaと同じ語源圏。,onは鼻母音/ɔ̃/。語末eは無音だが、その前のsは発音する。nous l’ouvronsではl’とouvronsが一続きに聞こえる。,section12_fr_draft01.md,memoriopolis::fr::core10
C0006,destinataire,dɛstinatɛʁ,宛先／受取人,名詞（人を指す場合は性に応じる）,メッセージや返信の送り先となる人・主体。本文では人名や部署名とは限らない返信先を指す。,En dessous apparut le destinataire de la réponse.,その下に、返信先が表示された。,destinat-,-aire（関係する人・対象を表す語尾）,des｜ti｜na｜taire → 聞こえ方: dè-sti-na-tèr,destinat-「向けられた先」+ -aire → destinataire「受取人・宛先」,En dessous＝その下に｜apparut＝現れた｜le destinataire＝宛先が｜de la réponse＝返信の,en dessousを文頭に置いて場所を示します。apparutはapparaitreの単純過去で、現れた瞬間を示します。le destinataireが動詞の後ろに来ています。,スペイン語・イタリア語destinatario、ポルトガル語destinatárioと近い。,語末eは無音。aiは/ɛ/。rは/ʁ/。de la réponseでは単語間の区切りは保たれるが、まとまりとして流れる。,section12_fr_draft01.md,memoriopolis::fr::core10
C0007,signature,siɲatyʁ,署名,女性名詞,署名。本文では送信主体を確認する電子署名も含む。,La signature et le trajet pouvaient tous deux être vérifiés.,署名と経路は、どちらも確認できました。,signat-,-ure（結果・対象を表す名詞語尾）,si｜gna｜ture → 聞こえ方: si-nya-tür,signer「署名する」と同じ語幹圏 + -ature → signature「署名」,La signature et le trajet＝署名と経路は｜pouvaient＝〜できた｜tous deux＝どちらも｜être vérifiés＝確認される,pouvaientはpouvoirの半過去です。tous deuxは二つの男性・混合要素をまとめて「両方」。過去分詞vérifiésも複数形です。,英語signature、フランス語signatureは同綴り。スペイン語firma、イタリア語firma、ポルトガル語assinaturaとは形が異なる。,gnは/ɲ/で、日本語の「ニャ」に近い。語末eは無音。語末rは/ʁ/として残る。,section12_fr_draft01.md,memoriopolis::fr::core10
C0008,vérification,veʁifikasjɔ̃,検証,女性名詞,正しさや対応関係を検証すること。本文では外部検証と設定確認に用いる。,C’est nous qui avons demandé la vérification.,検証を依頼したのは、こちらです。,vérific-,-ation（動作・結果を表す名詞化接尾辞）,vé｜ri｜fi｜ca｜tion → 聞こえ方: vé-ri-fi-ka-syon,vérifier「確認する」+ -ation → vérification「検証」,C’est nous＝私たちです｜qui avons demandé＝依頼したのは｜la vérification＝その検証を,c’est nous qui...は「〜したのは私たちだ」と焦点を置く構文です。関係代名詞quiの先行詞がnousなので、動詞はavonsになります。,英語verification、スペイン語verificación、ポルトガル語verificaçãoと近い。イタリア語はverifica。,éは/e/。rは/ʁ/。-tionは/sjɔ̃/で鼻母音。語末n自体を/n/として閉じない。,section12_fr_draft01.md,memoriopolis::fr::core10
C0009,autorisation,otoʁizasjɔ̃,権限／許可,女性名詞,操作を実行するための許可・権限。本文では設定変更を許す制度上・システム上の権限を指す。,Ce rôle dispose des autorisations nécessaires pour modifier la configuration.,この役割には、設定を変更するために必要な権限があります。,autoris-,-ation（動作・結果を表す名詞化接尾辞）,au｜to｜ri｜sa｜tion → 聞こえ方: o-to-ri-za-syon,autoriser「許可する」+ -ation → autorisation「許可・権限」,Ce rôle＝この役割は｜dispose des autorisations nécessaires＝必要な権限を有する｜pour modifier＝変更するための｜la configuration＝設定を,disposer deは「〜を備える」。de＋lesがdesになります。nécessairesは複数名詞autorisationsに一致します。pour＋不定詞が目的を示します。,英語authorization、スペイン語autorización、ポルトガル語autorização、イタリア語autorizzazioneと同源。,auは/o/。sは母音間で/z/。-tionは/sjɔ̃/。複数形autorisationsの語末sは発音しない。,section12_fr_draft01.md,memoriopolis::fr::core10
C0010,rôle,ʁol,役割／ロール,男性名詞,人・組織・システムへ割り当てられた役割。本文では鍵管理や設定変更の権限を持つシステム上のロール。,Nous avons vérifié que ce rôle existe.,その役割が存在することは確認しました。,rôl-,-e（男性名詞。語末eは無音）,rôle → 聞こえ方: rol,英語roleと同じ語源圏。ôが歴史的な綴りの痕跡を示す。,Nous avons vérifié＝私たちは確認した｜que＝〜ということを｜ce rôle＝その役割が｜existe＝存在する,avons vérifiéは複合過去です。主語nousは明示されます。que以下が確認内容で、ce rôle existeが「その役割が存在する」です。,英語role、スペイン語rol、イタリア語ruoloと同系。ブラジル・ポルトガル語ではfunçãoなどが対応する。,ôは/o/。語末eは無音。rは語頭の/ʁ/。ce rôleでは語間をつなぐがリエゾンは起きない。,section12_fr_draft01.md,memoriopolis::fr::core10
