C0001,Aufzeichnung,ˈaʊ̯fˌtsaɪ̯çnʊŋ,記録,女性名詞（die）,後から確認できる形で残された記録。本文では仕組みや操作主体を説明する証拠としての記録を指す。,"Welche Aufzeichnung bestätigt, dass es noch immer derselbe Mechanismus ist?",どの記録によって、それが今も同じ仕組みだと確認できますか。,zeichn-,auf-（上に・記録として）＋ -ung（動作・結果の名詞化）,Auf｜zeich｜nung → 聞こえ方: アオフ・ツァイヒ・ヌング,aufzeichnen「記録する」→ Aufzeichnung「記録」,Welche Aufzeichnung＝どの記録が｜bestätigt＝確認する／裏づける｜dass＝〜ということを｜es noch immer derselbe Mechanismus ist＝それが今も同じ仕組みである,Aufzeichnungは女性名詞です。dass節では定動詞istが文末へ移ります。derselbeは男性名詞Mechanismusに一致します。,英語sign／スペイン語signoなどと遠い語源的つながりを持つzeichnenに、分離接頭辞auf-と名詞化接尾辞-ungが付く。,語頭Auは二重母音/aʊ̯/。zは/ts/、chはç-Laut /ç/、語末-ngは/ŋ/。,section12_de_draft01.md,memoriopolis::de::core10
C0002,Gedächtnis,ɡəˈdɛçtnɪs,記憶,中性名詞（das）,人の内側に保持される記憶。本文ではIという名前を思い出す内的な記憶を指す。,In meinem Gedächtnis war dieser Name viel kürzer.,私の記憶の中では、その名前はもっとずっと短かった。,dächt-,ge- ＋ -nis（状態・結果を表す名詞語尾）,Ge｜däch｜tnis → 聞こえ方: ゲ・デヒト・ニス,denken／gedachtの語幹圏＋-nis → Gedächtnis「記憶」,In meinem Gedächtnis＝私の記憶の中では｜war＝〜だった｜dieser Name＝この名前は｜viel kürzer＝ずっと短い,inは位置を表すため3格を取り、das Gedächtnisがmeinem Gedächtnisになります。kürzerはkurzの比較級です。,英語thinkやthoughtと同じゲルマン語系の「考える」領域に属する。,äは/ɛ/。chは前舌母音の後なので/ç/。語末sは/s/。第2音節に主強勢。,section12_de_draft01.md,memoriopolis::de::core10
C0003,Stadt,ʃtat,都市,女性名詞（die）,都市・市。本文では運用局の内外で権限が変わる制度上の境界でもある。,"Und was ist mit dem Abschnitt, der außerhalb der Stadt verläuft?",では、都市の外を通る区間はどうなりますか。,Stadt,接辞なし,Stadt → 聞こえ方: シュタット,古高ドイツ語stat「場所」→ Stadt「都市」,Und was ist mit＝では〜はどうですか｜dem Abschnitt＝その区間｜der ... verläuft＝通っている｜außerhalb der Stadt＝都市の外を,mitは3格を取りdem Abschnittになります。関係代名詞derは男性名詞Abschnittを受けます。außerhalbは通常2格を取り、der Stadtになります。,英語stead（homesteadなど）と同じく「場所」の語源圏につながる。,語頭stは/ʃt/。語末dは無声化して/t/。一音節で短く強く発音する。,section12_de_draft01.md,memoriopolis::de::core10
C0004,Benachrichtigung,bəˈnaxʁɪçtɪɡʊŋ,通知,女性名詞（die）,システムや組織から届く通知。本文では毎朝届く通知と未知の送信元から届いた通知を指す。,Die beiden Benachrichtigungen standen noch immer nebeneinander auf demselben Bildschirm.,二つの通知は、まだ同じ画面に並んで表示されていた。,nachricht-,be- ＋ -ig ＋ -ung,Be｜nach｜rich｜ti｜gung → 聞こえ方: ベ・ナハ・リヒ・ティ・グング,benachrichtigen「通知する」＋-ung → Benachrichtigung「通知」,Die beiden Benachrichtigungen＝二つの通知は｜standen noch immer＝まだ表示されていた｜nebeneinander＝並んで｜auf demselben Bildschirm＝同じ画面上に,beideの後では形容詞語尾を伴うbeidenとなります。aufは位置なので3格、demselben Bildschirmです。standenはstehenの過去形です。,Nachricht「知らせ・ニュース」を中核にした語。英語notificationとは語形が異なる。,nachのchは/ x /、richtのchは/ç/。語末-ngは/ŋ/。長い複合派生語なので語のまとまりを意識する。,section12_de_draft01.md,memoriopolis::de::core10
C0005,Antwort,ˈantvɔʁt,返信／応答,女性名詞（die）,質問や通知への返事・応答。本文では届いた返信と返信欄の双方を指す。,Eine Antwort ist gekommen. Wir öffnen sie.,返信が届きました。それを開きます。,wort,ant-（entgegen・応じて）＋ Wort,Ant｜wort → 聞こえ方: アント・ヴォルト,antworten「答える」に対応する名詞 Antwort「返答」,Eine Antwort＝一つの返信が｜ist gekommen＝届いた｜Wir öffnen sie＝私たちはそれを開く,kommenの完了形はseinを使い、ist gekommenとなります。sieは女性名詞Antwortを受ける4格代名詞です。,Wort「語」に応答の方向を表す古い接頭要素が結びついた語。英語answerとは同じゲルマン語圏だが形が異なる。,wは/v/。語末dはなく、語末tを明瞭に発音する。rは標準語で/ʁ/または母音化する。,section12_de_draft01.md,memoriopolis::de::core10
C0006,Empfänger,ɛmˈpfɛŋɐ,宛先／受取人,男性名詞（der）,メッセージや返信の送り先となる人・主体。本文では人名や部署名とは限らない返信先を指す。,Darunter wurde der Empfänger der Antwort angezeigt.,その下に、返信先が表示された。,fang- / fäng-,emp- ＋ -er（行為者）,Emp｜fän｜ger → 聞こえ方: エンプ・フェン・ガー,empfangen「受け取る」→ Empfänger「受取人・宛先」,Darunter＝その下に｜wurde ... angezeigt＝表示された｜der Empfänger＝宛先が｜der Antwort＝返信の,wurde angezeigtは受動の過去形です。der Antwortは女性名詞Antwortの2格で「返信の」を表します。,fangen「捕らえる」と同じ語幹圏。受信者を表す技術語としても一般的。,pfを一続きに発音する。äは/ɛ/、ngは/ŋ/。語尾-erは弱い/ɐ/。,section12_de_draft01.md,memoriopolis::de::core10
C0007,Signatur,zɪɡnaˈtuːɐ̯,署名,女性名詞（die）,署名。本文では送信主体を確認する電子署名も含む。,Sowohl die Signatur als auch der Übertragungsweg konnten geprüft werden.,署名と経路は、どちらも確認できました。,signat-,-ur（名詞語尾）,Si｜gna｜tur → 聞こえ方: ズィグ・ナ・トゥーア,lateinisch signare「zeichnen」→ Signatur「署名」,Sowohl die Signatur＝署名も｜als auch der Übertragungsweg＝経路も｜konnten geprüft werden＝確認できた,sowohl A als auch Bで「AもBも」。主語が二つなのでkonntenは複数形です。geprüft werdenは受動不定詞です。,英語signature、フランス語signatureと同じラテン語系。ドイツ語では語頭sが母音前で/z/になる。,語頭Sは/z/。gは/ɡ/。語末-urに主強勢があり、長母音/uː/の後のrは母音化しやすい。,section12_de_draft01.md,memoriopolis::de::core10
C0008,Überprüfung,ˈyːbɐˌpʁyːfʊŋ,検証,女性名詞（die）,正しさや対応関係を検証すること。本文では外部検証と設定確認に用いる。,Wir haben um die Überprüfung gebeten.,検証を依頼したのは、こちらです。,prüf-,über- ＋ -ung,Über｜prü｜fung → 聞こえ方: ユー・バー・プリュー・フング,überprüfen「検証する」＋-ung → Überprüfung「検証」,Wir＝私たちは｜haben ... gebeten＝依頼した｜um die Überprüfung＝検証を,um etwas bittenで「何かを依頼する」。umは4格を取り、die Überprüfungになります。haben gebetenはbittenの現在完了です。,prüfenは英語proveと同じく、正しさを確かめる語源圏に接続する。,üは唇を丸めた前舌母音/yː/。語頭Überに主強勢。語末-ngは/ŋ/。,section12_de_draft01.md,memoriopolis::de::core10
C0009,Berechtigung,bəˈʁɛçtɪɡʊŋ,権限／許可,女性名詞（die）,操作を実行するための許可・権限。本文では設定変更を許す制度上・システム上の権限を指す。,"Diese Rolle besitzt die erforderlichen Berechtigungen, um die Konfiguration zu ändern.",この役割には、設定を変更するために必要な権限があります。,recht-,be- ＋ -ig ＋ -ung,Be｜rech｜ti｜gung → 聞こえ方: ベ・レヒ・ティ・グング,berechtigen「権限を与える」＋-ung → Berechtigung「権限」,Diese Rolle＝この役割は｜besitzt die erforderlichen Berechtigungen＝必要な権限を持つ｜um ... zu ändern＝変更するために｜die Konfiguration＝設定を,um ... zu＋不定詞が目的を示します。Berechtigungenは複数4格で、形容詞erforderlichは-erforderlichenとなります。,Recht「権利・正しさ」を中核にする。英語rightと同じゲルマン語系。,chは/ç/。語末-ngは/ŋ/。長い派生語だが、be-RECH-ti-gungの強勢を意識する。,section12_de_draft01.md,memoriopolis::de::core10
C0010,Rolle,ˈʁɔlə,役割／ロール,女性名詞（die）,人・組織・システムへ割り当てられた役割。本文では鍵管理や設定変更の権限を持つシステム上のロール。,"Wir haben geprüft, dass diese Rolle existiert.",その役割が存在することは確認しました。,roll-,-e（女性名詞語尾）,Rol｜le → 聞こえ方: ロ・レ,フランス語 rôleを経由した借用語 → Rolle「役割」,Wir haben geprüft＝私たちは確認した｜dass＝〜ということを｜diese Rolle＝この役割が｜existiert＝存在する,haben geprüftは現在完了です。dass節では定動詞existiertが文末に置かれます。dieseは女性名詞Rolleに一致します。,英語role、フランス語rôle、スペイン語rol、イタリア語ruoloと同じ語源圏。,語頭rは/ʁ/。oは短い/ɔ/。二重子音llは直前母音が短いことを示し、語末eは弱い/ə/。,section12_de_draft01.md,memoriopolis::de::core10
