ID,Russian,Stress,Transliteration,Japanese,PartOfSpeech,RussianGrammar,ExampleRussian,ExampleStress,ExampleTransliteration,ExampleJapanese,Source,Tags,ExampleBreakdown,ExampleExplanation,ExamplePronunciationHint
C0001,запись,за́пись,zapisʹ,記録,名詞,女性名詞・例文は単数主格,"«Это та запись, которую мы видели раньше?»","«Э́то та за́пись, кото́рую мы ви́дели ра́ньше?»","Eto ta zapisʹ, kotoruyu my videli ranʹshe?",「これは、前に見たあの記録ですか」,section12_ru_draft01,memoriopolis::ru::core10,Это＝これは｜та запись＝あの記録｜которую мы видели раньше＝私たちが以前見た,таは女性名詞за́письに一致します。которуюはза́письを受ける女性単数対格です。,за́письは「ザーピシ」に近く聞こえます。語末のсьはсをやわらかくした音です。
C0002,память,па́мять,pamyatʹ,記憶,名詞,女性名詞・例文は前置格па́мяти,В моей памяти оно было гораздо короче.,В мое́й па́мяти оно́ бы́ло гора́здо коро́че.,V moyey pamyati ono bylo gorazdo koroche.,私の記憶の中では、それはずっと短かった。,section12_ru_draft01,memoriopolis::ru::core10,В моей памяти＝私の記憶の中では｜оно было＝それは〜だった｜гораздо короче＝ずっと短く,вが場所を表すためпа́мятьは前置格па́мятиになります。мое́йも同じ格に一致します。,па́мятиは「パーミチ」に近く聞こえます。В моей памятиは「ヴ マイェイ パーミチ」のようにまとまります。
C0003,город,го́род,gorod,都市,名詞,男性名詞・例文は生格го́рода,"«А на участке, проходящем за пределами города?»","«А на уча́стке, проходя́щем за преде́лами го́рода?»","A na uchastke, prokhodyashchem za predelami goroda?",「では、都市の外を通る部分は？」,section12_ru_draft01,memoriopolis::ru::core10,на участке＝その区間では｜проходящем＝通っている｜за пределами города＝都市の境界の外を,го́родは「何の境界か」を示すため生格го́родаになります。,го́родаは「ゴーラダ」に近く聞こえます。強勢のない二つ目のоは「あいまいなア」に近づきます。
C0004,уведомление,уведомле́ние,uvedomleniye,通知,名詞,中性名詞・例文は単数主格,"В тот же миг исчезло уведомление, приходившее каждое утро.","В тот же миг исче́зло уведомле́ние, приходи́вшее ка́ждое у́тро.","V tot zhe mig ischezlo uvedomleniye, prikhodivsheye kazhdoye utro.",その瞬間、毎朝届いていた通知が消えた。,section12_ru_draft01,memoriopolis::ru::core10,В тот же миг＝その瞬間｜исчезло уведомление＝通知が消えた｜приходившее каждое утро＝毎朝届いていた,уведомле́ниеは中性名詞なのでисче́злоとприходи́вшееも中性単数形です。,уведомле́ниеは「ウヴィダムリェーニイェ」に近く聞こえます。強勢のある「リェー」を目印にします。
C0005,ответ,отве́т,otvet,返信／返事,名詞,男性名詞・例文は単数主格,Пришёл ответ.,Пришёл отве́т.,Prishyol otvet.,返事が来た。,section12_ru_draft01,memoriopolis::ru::core10,Пришёл＝来た｜ответ＝返事が,отве́тは男性名詞なので過去形は男性単数のпришёлになります。,отве́тは「アトヴェート」に近く聞こえます。最初のоは強勢がないため「ア」に近づきます。
C0006,адресат,адреса́т,adresat,宛先／受取人,名詞,男性名詞・例文は単数主格,Ниже появился адресат ответа.,Ни́же появи́лся адреса́т отве́та.,Nizhe poyavilsya adresat otveta.,その下に返信先が表示された。,section12_ru_draft01,memoriopolis::ru::core10,Ниже＝その下に｜появился адресат＝宛先が現れた｜ответа＝返信の,адреса́тは主語です。отве́таは「何の宛先か」を示す生格です。,адреса́тは「アドリサート」に近く聞こえます。強勢は最後のа́にあります。
C0007,подпись,по́дпись,podpisʹ,署名,名詞,女性名詞・例文は単数主格,"«Маршрут и подпись — да», — ответил сотрудник.","«Маршру́т и по́дпись — да», — отве́тил сотру́дник.","Marshrut i podpisʹ — da, — otvetil sotrudnik.",「経路と署名なら、はい」と担当者は答えた。,section12_ru_draft01,memoriopolis::ru::core10,Маршрут и подпись＝経路と署名｜да＝はい｜ответил сотрудник＝担当者が答えた,二つの名詞をиで並べ、確認可能な範囲を省略文で短く答えています。,по́дписьは「ポートピシ」に近く聞こえます。дпの連続ではдが弱く、語末のсьはやわらかく聞こえます。
C0008,проверка,прове́рка,proverka,検証／確認,名詞,女性名詞・例文は対格прове́рку,«Запрос на проверку отправили мы».,«Запро́с на прове́рку отпра́вили мы».,Zapros na proverku otpravili my.,「検証を依頼したのは、私たちです」,section12_ru_draft01,memoriopolis::ru::core10,Запрос на проверку＝検証依頼を｜отправили＝送った｜мы＝私たちが,на прове́ркуは目的を表すため対格です。мыを文末に置き「私たち」を強調します。,прове́ркуは「プラヴェールク」に近く聞こえます。最初のоは強勢がないため「ア」に近づきます。
C0009,полномочия,полномо́чия,polnomochiya,権限,名詞,複数名詞・例文は生格複数полномо́чий,Недостаточно полномочий.,Недоста́точно полномо́чий.,Nedostatochno polnomochiy.,権限が不足しています。,section12_ru_draft01,memoriopolis::ru::core10,Недостаточно＝不足している｜полномочий＝権限が,недоста́точноの後では不足する対象を生格で表すため、полномо́чийになります。,полномо́чийは「パルナモーチイ」に近く聞こえます。強勢のないоは「ア」に近づきます。
C0010,роль,роль,rolʹ,役割／ロール,名詞,女性名詞・例文は単数主格,"«Мы проверили, что эта роль существует».","«Мы прове́рили, что э́та роль существу́ет».","My proverili, chto eta rolʹ sushchestvuyet.",「私たちは、その役割が存在することを確認しました」,section12_ru_draft01,memoriopolis::ru::core10,Мы проверили＝私たちは確認した｜что＝〜ということを｜эта роль существует＝この役割が存在する,рольは女性名詞なのでэ́таになります。существу́етは存在だけを述べ、鍵の管理までは述べません。,рольは「ローリ」に近く聞こえます。語末のльはлをやわらかくした音です。
